CreditoID,FechaCorte,SalCapVigente,SalCapAtrasado,SalCapVencido,SalCapVenNoExi,SalIntOrdinario,SalIntAtrasado,SalIntVencido,SalIntProvision,SalIntNoConta,SalMoratorios,SalComFaltaPago,SalOtrasComisi,SalIVAInteres,SalIVAMoratorios,SalIVAComFalPago,SalIVAComisi,PasoCapAtraDia,PasoCapVenDia,PasoCapVNEDia,PasoIntAtraDia,PasoIntVenDia,CapRegularizado,IntOrdDevengado,IntMorDevengado,ComisiDevengado,PagoCapVigDia,PagoCapAtrDia,PagoCapVenDia,PagoCapVenNexDia,PagoIntOrdDia,PagoIntVenDia,PagoIntAtrDia,PagoIntCalNoCon,PagoComisiDia,PagoMoratorios,PagoIvaDia,IntCondonadoDia,MorCondonadoDia,DiasAtraso,NoCuotasAtraso,MaximoDiasAtraso,LineaCreditoID,ClienteID,MonedaID,FechaInicio,FechaVencimiento,FechaExigible,FechaLiquida,ProductoCreditoID,EstatusCredito,SaldoPromedio,MontoCredito,FrecuenciaCap,PeriodicidadCap,FrecuenciaInt,PeriodicidadInt,NumAmortizacion,FechTraspasVenc,FechAutoriza,ClasifRegID,Calificacion,PorcReserva,EmpresaID,Usuario,FechaActual,DireccionIP,ProgramaID,Sucursal,NumTransaccion
100001667,2015-01-19,0.00,0.00,4710.73,0.00,0.00,0.00,244.75,0.00,0.78,2923.06,560.30,0.00,494.19,58.73,124.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328,14,327,0,137,1,2013-05-29,2014-05-28,1900-01-01,1900-01-01,1100,B,4710.73,15000.00,S,7,S,7,52,2014-05-26,2013-05-24,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001675,2015-01-19,0.00,0.00,28542.14,0.00,0.00,0.00,4791.44,0.00,6658.61,19488.97,1939.65,0.00,666.36,1.66,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,477,15,355,0,138,1,2013-05-29,2014-11-29,1900-01-01,1900-01-01,1300,B,28542.14,32000.00,M,30,M,30,18,2013-12-31,2013-05-24,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001799,2015-01-19,0.00,0.00,5703.10,0.00,0.00,0.00,565.59,0.00,134.69,5427.73,775.92,0.00,333.98,0.51,10.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407,12,364,0,146,1,2013-06-10,2014-05-12,1900-01-01,1900-01-01,1100,B,5703.10,10000.00,C,14,C,14,24,2014-03-10,2013-06-07,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001811,2015-01-19,0.00,0.00,8728.90,0.00,0.00,0.00,1173.36,0.00,1625.77,112055.59,31551.64,0.00,138.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,904.02,129.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497,10,343,0,148,1,2013-06-10,2014-06-10,1900-01-01,1900-01-01,1100,B,8728.90,10000.00,M,30,M,30,12,2013-12-09,2013-06-07,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001845,2015-01-19,0.00,0.00,25149.20,0.00,0.00,0.00,1028.88,0.00,6286.78,12361.35,1293.10,0.00,1553.27,401.93,82.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340,11,339,0,149,1,2013-06-14,2014-12-14,1900-01-01,1900-01-01,1300,B,25149.20,35000.00,M,30,M,30,18,2014-02-11,2013-06-11,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001870,2015-01-19,0.00,0.00,40481.02,0.00,0.00,0.00,5109.98,0.00,7277.02,23071.27,1551.72,0.00,1910.02,42.57,62.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400,13,339,0,74,1,2013-06-14,2014-12-14,1900-01-01,1900-01-01,1300,B,40481.02,50000.00,M,30,M,30,18,2014-03-18,2013-06-13,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001993,2015-01-19,0.00,0.00,2374.78,0.00,0.00,0.00,144.90,0.00,0.00,1557.01,258.62,0.00,483.78,19.84,62.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267,3,266,0,159,1,2013-06-26,2014-06-26,1900-01-01,1900-01-01,1200,B,2374.78,10000.00,M,30,M,30,12,2014-07-28,2013-06-25,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002001,2015-01-19,0.00,0.00,1915.99,0.00,0.00,0.00,89.17,0.00,14.33,2083.65,431.00,0.00,127.27,78.27,82.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417,11,360,0,160,1,2013-06-28,2014-02-07,1900-01-01,1900-01-01,1100,B,1915.99,5000.00,S,7,S,7,32,2014-01-15,2013-06-27,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002019,2015-01-19,0.00,0.00,4217.88,0.00,0.00,0.00,203.79,0.00,65.13,3212.07,387.96,0.00,492.39,125.49,124.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319,7,318,0,161,1,2013-06-28,2014-05-30,1900-01-01,1900-01-01,1100,B,4217.88,12000.00,C,14,C,14,24,2014-04-23,2013-06-27,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002060,2015-01-19,0.00,0.00,3145.45,0.00,0.00,0.00,179.04,0.00,0.00,3437.93,387.93,0.00,213.46,15.85,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413,3,349,0,165,1,2013-07-03,2014-02-03,1900-01-01,1900-01-01,1300,B,3145.45,8000.00,M,30,M,30,7,2014-03-03,2013-07-01,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002078,2015-01-19,0.00,0.00,5161.28,0.00,0.00,0.00,405.09,0.00,8.08,6309.08,517.28,0.00,151.65,16.66,31.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,469,8,0,0,103,1,2013-07-02,2014-01-14,1900-01-01,1900-01-01,1300,B,5161.28,8450.00,C,14,C,14,14,2014-01-06,2013-07-01,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002108,2015-01-19,0.00,0.00,1205.23,0.00,0.00,0.00,15.31,0.00,0.00,1070.32,86.20,0.00,292.21,190.05,151.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354,2,353,0,167,1,2013-07-05,2014-02-14,1900-01-01,1900-01-01,1300,B,1205.23,10000.00,C,14,C,14,16,2014-02-19,2013-07-04,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002302,2015-01-19,4828.47,0.00,0.00,0.00,0.00,0.00,0.00,204.59,0.00,0.00,0.00,0.00,3870.97,4.99,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,8,0,180,1,2013-07-22,2015-01-22,1900-01-01,1900-01-01,1100,V,4828.47,50000.00,M,30,M,30,18,1900-01-01,2013-07-19,41120,B1,1.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002329,2015-01-19,0.00,0.00,7915.50,1786.91,0.00,0.00,866.68,0.00,410.13,1786.84,646.55,0.00,1172.36,136.50,186.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181,6,180,0,181,1,2013-07-23,2015-01-23,1900-01-01,1900-01-01,1100,B,9702.41,20000.00,M,30,M,30,18,2014-10-20,2013-07-19,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002353,2015-01-19,0.00,0.00,4934.61,0.00,0.00,0.00,398.41,0.00,7.66,5157.07,603.40,0.00,229.69,0.88,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414,8,357,0,184,1,2013-07-29,2014-03-10,1900-01-01,1900-01-01,1300,B,4934.61,10000.00,C,14,C,14,16,2014-03-03,2013-07-23,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100002388,2015-01-19,0.00,0.00,6804.31,0.00,0.00,0.00,870.16,0.00,542.83,6315.41,775.80,0.00,153.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446,18,361,0,186,1,2013-07-25,2014-06-26,1900-01-01,1900-01-01,1100,B,6804.31,8500.00,C,14,C,14,24,2014-01-28,2013-07-24,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
